model_id,run_name,history_source,history_path,cycle_count,last_cycle_count_used,max_l_modulation_fraction,min_v_modulation_mag,period_modulation_fraction,radius_amplitude_modulation_fraction,last_max_l_lsun,last_min_abs_mag_v,last_period_days,diagnostic_png,history_candidate_cycle_counts
model_000,model_000_combined_14507_full_pressure_minus_eq,deep,<local-rre-root>/mesa_rsp_combined_14507_full_pressure_minus_eq/LOGS/history.data,2,2,0.00010416130117736391,0.00015037895720731997,3.2308209936264515e-05,0.0004108084058919667,66.40079196156525,0.27374141745529995,0.7214516813364753,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_000_combined_14507_full_pressure_minus_eq_cycle_modulation_diagnostic.png,"[{'history_source': 'deep', 'history_path': '<local-path>, 'cycle_count': 2}]"
model_001,model_001_M0p5602_Z0p003592_T6824,continue_saturation,<local-rre-root>/rsp_batch_runs/runs/model_001_M0p5602_Z0p003592_T6824/LOGS_continue_saturation/history.data,1909,80,0.01825041585672436,0.02125423090948346,0.016945448988228973,0.07037958200170415,71.83196371385539,0.043484579152069894,0.5941673386269031,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_001_M0p5602_Z0p003592_T6824_cycle_modulation_diagnostic.png,"[{'history_source': 'continue_saturation_resume:LOGS_continue_saturation_resume_2500000', 'history_path': '<local-path>, 'cycle_count': 24}, {'history_source': 'continue_saturation', 'history_path': '<local-path>, 'cycle_count': 1909}, {'history_source': 'deep', 'history_path': '<local-path>, 'cycle_count': 2}, {'history_source': 'saturation', 'history_path': '<local-path>, 'cycle_count': 609}]"
model_002,model_002_M0p5753_Z0p00707_T6044,continue_saturation,<local-rre-root>/rsp_batch_runs/runs/model_002_M0p5753_Z0p00707_T6044/LOGS_continue_saturation/history.data,2000,80,0.00101331547857354,0.0014196630363205731,0.0030011366325395426,0.08909379793308264,36.64199224679168,0.9227587359147772,0.7284965870305768,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_002_M0p5753_Z0p00707_T6044_cycle_modulation_diagnostic.png,"[{'history_source': 'continue_saturation', 'history_path': '<local-path>, 'cycle_count': 2000}, {'history_source': 'deep', 'history_path': '<local-path>, 'cycle_count': 2}, {'history_source': 'saturation', 'history_path': '<local-path>, 'cycle_count': 602}]"
model_003,model_003_M0p7317_Z0p001405_T6745,continue_saturation,<local-rre-root>/rsp_batch_runs/runs/model_003_M0p7317_Z0p001405_T6745/LOGS_continue_saturation/history.data,2000,80,0.11884400872247806,0.14516902589013403,0.12419114123817587,0.4614593145508555,56.28273565097402,0.36747640533774967,0.35446820880451924,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_003_M0p7317_Z0p001405_T6745_cycle_modulation_diagnostic.png,"[{'history_source': 'continue_saturation', 'history_path': '<local-path>, 'cycle_count': 2000}, {'history_source': 'deep', 'history_path': '<local-path>, 'cycle_count': 2}, {'history_source': 'saturation', 'history_path': '<local-path>, 'cycle_count': 610}]"
model_004,model_004_M0p7595_Z0p0001834_T6876,continue_saturation,<local-rre-root>/rsp_batch_runs/runs/model_004_M0p7595_Z0p0001834_T6876/LOGS_continue_saturation/history.data,2000,80,0.00921211155814758,0.01133332636514589,0.041389181704012845,0.14904796909630233,63.851877360391576,0.2533696486158365,0.5120269200479015,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_004_M0p7595_Z0p0001834_T6876_cycle_modulation_diagnostic.png,"[{'history_source': 'continue_saturation', 'history_path': '<local-path>, 'cycle_count': 2000}, {'history_source': 'deep', 'history_path': '<local-path>, 'cycle_count': 2}, {'history_source': 'saturation', 'history_path': '<local-path>, 'cycle_count': 606}]"
model_005,model_005_M0p6238_Z0p00007156_T6925,continue_saturation,<local-rre-root>/rsp_batch_runs/runs/model_005_M0p6238_Z0p00007156_T6925/LOGS_continue_saturation/history.data,2000,80,0.19697812399424885,0.25799412565331786,0.24490637672407425,0.8430265058434179,57.342248015957516,0.3516168095651706,0.39830048659291606,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_005_M0p6238_Z0p00007156_T6925_cycle_modulation_diagnostic.png,"[{'history_source': 'continue_saturation', 'history_path': '<local-path>, 'cycle_count': 2000}, {'history_source': 'deep', 'history_path': '<local-path>, 'cycle_count': 2}, {'history_source': 'saturation', 'history_path': '<local-path>, 'cycle_count': 606}]"
model_006,model_006_M0p7194_Z0p001620_T6711,continue_saturation,<local-rre-root>/rsp_batch_runs/runs/model_006_M0p7194_Z0p001620_T6711/LOGS_continue_saturation/history.data,2000,80,0.08684003662266797,0.11058045655046622,0.09742585286773878,0.31678470322080426,59.279909773563375,0.30307008239076333,0.40780169861682225,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_006_M0p7194_Z0p001620_T6711_cycle_modulation_diagnostic.png,"[{'history_source': 'continue_saturation', 'history_path': '<local-path>, 'cycle_count': 2000}, {'history_source': 'deep', 'history_path': '<local-path>, 'cycle_count': 2}, {'history_source': 'saturation', 'history_path': '<local-path>, 'cycle_count': 610}]"
model_007,model_007_M0p6887_Z0p004060_T6669,continue_saturation,<local-rre-root>/rsp_batch_runs/runs/model_007_M0p6887_Z0p004060_T6669/LOGS_continue_saturation/history.data,1564,80,0.018954516671283176,0.02193928750455372,0.017420857231819367,0.06578063524770164,70.52864491056312,0.06912143379371385,0.5565780636866293,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_007_M0p6887_Z0p004060_T6669_cycle_modulation_diagnostic.png,"[{'history_source': 'continue_saturation_resume:LOGS_continue_saturation_resume_2270000', 'history_path': '<local-path>, 'cycle_count': 35}, {'history_source': 'continue_saturation_resume:LOGS_continue_saturation_resume_2180000', 'history_path': '<local-path>, 'cycle_count': 69}, {'history_source': 'continue_saturation', 'history_path': '<local-path>, 'cycle_count': 1564}, {'history_source': 'saturation', 'history_path': '<local-path>, 'cycle_count': 603}]"
model_008,model_008_M0p6151_Z0p0004406_T6792,continue_saturation,<local-rre-root>/rsp_batch_runs/runs/model_008_M0p6151_Z0p0004406_T6792/LOGS_continue_saturation/history.data,1022,80,0.0055549229044488104,0.00688302566959087,0.3500022470879417,0.16208632253065058,62.69998114836454,0.2695476275841048,0.4105532005887653,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_008_M0p6151_Z0p0004406_T6792_cycle_modulation_diagnostic.png,"[{'history_source': 'continue_saturation_resume:LOGS_continue_saturation_resume_1620000', 'history_path': '<local-path>, 'cycle_count': 55}, {'history_source': 'continue_saturation', 'history_path': '<local-path>, 'cycle_count': 1022}, {'history_source': 'saturation', 'history_path': '<local-path>, 'cycle_count': 608}]"
model_009,model_009_M0p6668_Z0p0001120_T6852,saturation,<local-rre-root>/rsp_batch_runs/runs/model_009_M0p6668_Z0p0001120_T6852/LOGS_saturation/history.data,147,80,0.0004938811450511824,0.0006112196471933506,0.06874295270099068,0.28560926719386587,51.280740451629924,0.5079777086367111,0.5141007737315277,<local-rre-root>/rsp_batch_runs/output/cycle_diagnostics/model_009_M0p6668_Z0p0001120_T6852_cycle_modulation_diagnostic.png,"[{'history_source': 'saturation_resume:LOGS_saturation_resume_130000', 'history_path': '<local-path>, 'cycle_count': 53}, {'history_source': 'saturation', 'history_path': '<local-path>, 'cycle_count': 147}]"
