model_id,run_name,status,product_state,provenance,pending_reason,model_status,animation_trusted,converged_exact,convergence_blocking_metrics,convergence_blocking_requirements,convergence_quality_flags,convergence_forecast_status,gamma_ratio_to_tolerance,period_ratio_to_tolerance,delta_r_ratio_to_tolerance,delta_r_periods_to_tolerance_linear,latest_period,max_periods,profile_count,fourier_fixed_schema_version,fit_harmonics,num_profiles,point_count,q_env_min,q_env_max,temperature_min_K,temperature_max_K,photosphere_temperature_K,photosphere_q_env,fourier_png,fourier_csv,fourier_summary
model_000,model_000_combined_14507_full_pressure_minus_eq,present,reference,fixed-cell Fourier depth diagnostic from the final/reference deep profiles,,verified,True,,,,,,,,,,,,3184,absolute-amplitude-plus-thermodynamic-peak-lags-v2,14,3184,152,0.10433285883254786,0.9999989787458943,6157.465579160735,2001086.7294727836,6100.687972342929,0.9999989944985385,models/model_000/mesa_rsp_combined_14507_full_pressure_minus_eq_fourier_fixed_cells_vs_logT.png,models/model_000/mesa_rsp_combined_14507_full_pressure_minus_eq_fourier_fixed_cells_vs_logT.csv,models/model_000/mesa_rsp_combined_14507_full_pressure_minus_eq_fourier_fixed_cells_vs_logT_summary.json
model_001,model_001_M0p5602_Z0p003592_T6824,present,provisional,fixed-cell Fourier depth diagnostic from currently available deep profiles; will be refreshed after the strict convergence gate passes,,running: continue_saturation,False,False,delta_r,delta_r,surface_velocity_supersonic,approaching,0.5878897201210477,0.40120740477366845,43.92042103597703,79.42987260349555,2007,5000,3728,absolute-amplitude-plus-thermodynamic-peak-lags-v2,14,3728,135,0.103875718424925,0.9999984836987325,6725.705844495641,1999755.701215055,6637.834486363761,0.999998515014442,models/model_001/mesa_rsp_model_001_M0p5602_Z0p003592_T6824_fourier_fixed_cells_vs_logT.png,models/model_001/mesa_rsp_model_001_M0p5602_Z0p003592_T6824_fourier_fixed_cells_vs_logT.csv,models/model_001/mesa_rsp_model_001_M0p5602_Z0p003592_T6824_fourier_fixed_cells_vs_logT_summary.json
model_002,model_002_M0p5753_Z0p00707_T6044,present,provisional,fixed-cell Fourier depth diagnostic from currently available deep profiles; will be refreshed after the strict convergence gate passes,,running: continue_saturation,False,False,delta_r,"100_cycle_window,delta_r",,,0.014135962613456149,0.0009369676554259932,63.77993167682823,,2056,5000,3000,absolute-amplitude-plus-thermodynamic-peak-lags-v2,14,3000,167,0.09443771098997834,0.9999970137277028,5997.128672766817,2001166.4730748516,5926.76043913258,0.9999970802644305,models/model_002/mesa_rsp_model_002_M0p5753_Z0p00707_T6044_fourier_fixed_cells_vs_logT.png,models/model_002/mesa_rsp_model_002_M0p5753_Z0p00707_T6044_fourier_fixed_cells_vs_logT.csv,models/model_002/mesa_rsp_model_002_M0p5753_Z0p00707_T6044_fourier_fixed_cells_vs_logT_summary.json
model_003,model_003_M0p7317_Z0p001405_T6745,present,provisional,fixed-cell Fourier depth diagnostic from currently available deep profiles; will be refreshed after the strict convergence gate passes,,verification failed,False,False,"period,delta_r","gamma_missing,period,delta_r",surface_velocity_supersonic,worsening,,120.21008628543869,553.7146114383431,,2000,5000,3004,absolute-amplitude-plus-thermodynamic-peak-lags-v2,14,3004,170,0.10932011098322952,0.9999996901903482,6937.232688832824,2000437.973235572,6893.905928796339,0.999999693773637,models/model_003/mesa_rsp_model_003_M0p7317_Z0p001405_T6745_fourier_fixed_cells_vs_logT.png,models/model_003/mesa_rsp_model_003_M0p7317_Z0p001405_T6745_fourier_fixed_cells_vs_logT.csv,models/model_003/mesa_rsp_model_003_M0p7317_Z0p001405_T6745_fourier_fixed_cells_vs_logT_summary.json
model_004,model_004_M0p7595_Z0p0001834_T6876,present,provisional,fixed-cell Fourier depth diagnostic from currently available deep profiles; will be refreshed after the strict convergence gate passes,,awaiting convergence,False,False,"period,delta_r","gamma_missing,period,delta_r",surface_velocity_watch,worsening,,25.235680823581454,194.7332378758638,,2000,5000,3008,absolute-amplitude-plus-thermodynamic-peak-lags-v2,14,3008,160,0.11262013137128464,0.9999997489610469,7023.382755921489,2000621.2087623123,6931.775698216772,0.9999997546510094,models/model_004/mesa_rsp_model_004_M0p7595_Z0p0001834_T6876_fourier_fixed_cells_vs_logT.png,models/model_004/mesa_rsp_model_004_M0p7595_Z0p0001834_T6876_fourier_fixed_cells_vs_logT.csv,models/model_004/mesa_rsp_model_004_M0p7595_Z0p0001834_T6876_fourier_fixed_cells_vs_logT_summary.json
model_005,model_005_M0p6238_Z0p00007156_T6925,present,provisional,fixed-cell Fourier depth diagnostic from currently available deep profiles; will be refreshed after the strict convergence gate passes,,verification failed,False,False,"period,delta_r","gamma_missing,period,delta_r",surface_velocity_supersonic,worsening,,238.0971853063449,1083.8292045313083,846.1883578600438,2000,5000,2995,absolute-amplitude-plus-thermodynamic-peak-lags-v2,14,2995,163,0.11187474738933496,0.9999997400395155,7074.436199551965,2000092.6164087965,6968.999376853364,0.9999997467577444,models/model_005/mesa_rsp_model_005_M0p6238_Z0p00007156_T6925_fourier_fixed_cells_vs_logT.png,models/model_005/mesa_rsp_model_005_M0p6238_Z0p00007156_T6925_fourier_fixed_cells_vs_logT.csv,models/model_005/mesa_rsp_model_005_M0p6238_Z0p00007156_T6925_fourier_fixed_cells_vs_logT_summary.json
model_006,model_006_M0p7194_Z0p001620_T6711,present,provisional,fixed-cell Fourier depth diagnostic from currently available deep profiles; will be refreshed after the strict convergence gate passes,,verification failed,False,False,"period,delta_r","gamma_missing,period,delta_r",surface_velocity_supersonic,worsening,,91.32408511069967,378.02903115574895,5249.632288271641,2000,5000,3097,absolute-amplitude-plus-thermodynamic-peak-lags-v2,14,3097,147,0.10804805191121726,0.9999993486441847,6638.028990369754,2000443.8781473525,6612.1572857423735,0.9999993532735431,models/model_006/mesa_rsp_model_006_M0p7194_Z0p001620_T6711_fourier_fixed_cells_vs_logT.png,models/model_006/mesa_rsp_model_006_M0p7194_Z0p001620_T6711_fourier_fixed_cells_vs_logT.csv,models/model_006/mesa_rsp_model_006_M0p7194_Z0p001620_T6711_fourier_fixed_cells_vs_logT_summary.json
model_007,model_007_M0p6887_Z0p004060_T6669,pending,pending,,waiting for converged post-saturation deep profiles,running: continue_saturation,False,False,delta_r,delta_r,surface_velocity_supersonic,approaching,0.33812774077780566,0.13399069616623854,17.95616950698553,111.63108162466418,1733,5000,,,,,,,,,,,,,,
model_008,model_008_M0p6151_Z0p0004406_T6792,pending,pending,,waiting for converged post-saturation deep profiles,running: continue_saturation,False,False,delta_r,delta_r,surface_velocity_watch,worsening,0.05555595755089848,0.00644109683272988,206.78180176109942,,1179,5000,,,,,,,,,,,,,,
model_009,model_009_M0p6668_Z0p0001120_T6852,pending,pending,,waiting for converged post-saturation deep profiles,running: create,False,False,"gamma,period,delta_r","gamma,period,delta_r",,worsening,5.5250542682019015,62.44104897856894,393.35969512046387,,305,600,,,,,,,,,,,,,,
