model_id,run_name,registered_existing,active_stage,latest_period,trusted_animation,trusted_animation_reason,converged_exact,verification_passed,phase_seam_ok,worst_seam_metric,worst_seam_fraction,max_allowed_fraction_of_amplitude,row_count,luminosity_lsun_seam_fraction,luminosity_lsun_max_adjacent_fraction,luminosity_lsun_amplitude,luminosity_lsun_seam,radius_rsun_seam_fraction,radius_rsun_max_adjacent_fraction,radius_rsun_amplitude,radius_rsun_seam,teff_k_seam_fraction,teff_k_max_adjacent_fraction,teff_k_amplitude,teff_k_seam,failures,verification_summary
model_000,model_000_combined_14507_full_pressure_minus_eq,True,,,True,registered reference model,False,True,True,luminosity_lsun,0.0015328120602470237,0.025,1061,0.0015328120602470237,0.009777345038355116,12.57043593912266,0.019268115810049835,0.0001964804346560565,0.0031589525765335184,0.5710537041299997,0.00011220087999941342,0.0009363598362194199,0.007101966961472678,506.7422390900001,0.47449307999977464,,<local-rre-root>/output/combined_14507_full_pressure_minus_eq/verification_summary.json
model_001,model_001_M0p5602_Z0p003592_T6824,False,continue_saturation,1991.0,False,strict limit-cycle convergence gate has not passed,False,True,True,teff_k,0.002002841156821186,0.025,1242,0.0019639417562347735,0.006631544384657571,33.22601050743008,0.06525394942863727,0.0004579511223974595,0.004323670856520498,0.5397520781400003,0.0002471800700005744,0.002002841156821186,0.005048541439852523,1144.4708494200004,2.2921933200004787,,<local-rre-root>/rsp_batch_runs/output/model_001_M0p5602_Z0p003592_T6824/verification_summary.json
model_002,model_002_M0p5753_Z0p00707_T6044,False,continue_saturation,2031.0,False,strict limit-cycle convergence gate has not passed,False,True,True,luminosity_lsun,0.001700079998603592,0.025,1000,0.001700079998603592,0.0037421638967506036,0.845825063947899,0.0014379702735354272,0.000522534350465698,0.003164666970155631,0.06069373232999986,3.171456000039541e-05,0.0007575372399060559,0.003437711216941753,57.80738912000015,0.04379125000014028,,<local-rre-root>/rsp_batch_runs/output/model_002_M0p5753_Z0p00707_T6044/verification_summary.json
model_003,model_003_M0p7317_Z0p001405_T6745,False,,2000,False,verification has not passed for the current animation,False,False,False,radius_rsun,0.05676244454699598,0.025,1103,0.05168351951668756,0.006369002507138298,16.73020086627382,0.864675662990166,0.05676244454699598,0.0032426421750449018,0.3313124612599996,0.01880610520999948,0.04190332437691095,0.006416711937238481,582.4633420600003,24.407150359999832,"luminosity_lsun phase seam is 0.05168 of amplitude, expected <= 0.025; radius_rsun phase seam is 0.05676 of amplitude, expected <= 0.025; teff_k phase seam is 0.0419 of amplitude, expected <= 0.025",<local-rre-root>/rsp_batch_runs/output/model_003_M0p7317_Z0p001405_T6745/verification_summary.json
model_004,model_004_M0p7595_Z0p0001834_T6876,False,,2000,False,strict limit-cycle convergence gate has not passed,False,True,True,teff_k,0.020358376439180786,0.025,995,0.017340075546952976,0.003445860369228461,7.3633270434362075,0.12768064721010575,0.018219881115621152,0.003263425306413099,0.09130168519999948,0.0016635058499998578,0.020358376439180786,0.0033277115571986654,222.66949741999997,4.533189449999554,,<local-rre-root>/rsp_batch_runs/output/model_004_M0p7595_Z0p0001834_T6876/verification_summary.json
model_005,model_005_M0p6238_Z0p00007156_T6925,False,,2000,False,verification has not passed for the current animation,False,False,False,radius_rsun,0.3244899978407296,0.025,1070,0.014524514756499178,0.0041719054255351,11.260209500848426,0.1635490790563452,0.3244899978407296,0.0025224558106830175,0.2615772998699999,0.08487921747000016,0.10558216251469009,0.0038920458116434987,447.3407082699996,47.231199359999664,"radius_rsun phase seam is 0.3245 of amplitude, expected <= 0.025; teff_k phase seam is 0.1056 of amplitude, expected <= 0.025",<local-rre-root>/rsp_batch_runs/output/model_005_M0p6238_Z0p00007156_T6925/verification_summary.json
model_006,model_006_M0p7194_Z0p001620_T6711,False,,2000,False,verification has not passed for the current animation,False,False,False,radius_rsun,0.0845660080956768,0.025,949,0.05396115346511761,0.0075179648050468445,11.366464528449882,0.6133475367754997,0.0845660080956768,0.003245371074219661,0.29072554059999955,0.024585498419999574,0.023360376498588287,0.006485832578322606,473.51062688,11.06138651999936,"luminosity_lsun phase seam is 0.05396 of amplitude, expected <= 0.025; radius_rsun phase seam is 0.08457 of amplitude, expected <= 0.025",<local-rre-root>/rsp_batch_runs/output/model_006_M0p7194_Z0p001620_T6711/verification_summary.json
model_007,model_007_M0p6887_Z0p004060_T6669,False,continue_saturation,1718.0,False,animation GIF is missing,False,,,,,,,,,,,,,,,,,,,verification_summary.json missing or invalid,<local-rre-root>/rsp_batch_runs/output/model_007_M0p6887_Z0p004060_T6669/verification_summary.json
model_008,model_008_M0p6151_Z0p0004406_T6792,False,continue_saturation,1156.0,False,animation GIF is missing,False,,,,,,,,,,,,,,,,,,,verification_summary.json missing or invalid,<local-rre-root>/rsp_batch_runs/output/model_008_M0p6151_Z0p0004406_T6792/verification_summary.json
model_009,model_009_M0p6668_Z0p0001120_T6852,False,create,278.0,False,animation GIF is missing,False,,,,,,,,,,,,,,,,,,,verification_summary.json missing or invalid,<local-rre-root>/rsp_batch_runs/output/model_009_M0p6668_Z0p0001120_T6852/verification_summary.json
